"","id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue","umpire1","umpire2","umpire3"
"214",220,2011,"Hyderabad",2011-05-05,"Deccan Chargers","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,4,"V Sehwag","Rajiv Gandhi International Stadium, Uppal","Asad Rauf","AM Saheba",NA
"215",221,2011,"Bangalore",2011-05-06,"Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Royal Challengers Bangalore",85,0,"CH Gayle","M Chinnaswamy Stadium","Aleem Dar","RB Tiffin",NA
"216",223,2011,"Mumbai",2011-05-07,"Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Mumbai Indians",32,0,"AT Rayudu","Wankhede Stadium","K Hariharan","SJA Taufel",NA
"217",224,2011,"Bangalore",2011-05-08,"Kochi Tuskers Kerala","Royal Challengers Bangalore","Kochi Tuskers Kerala","bat","normal",0,"Royal Challengers Bangalore",0,9,"CH Gayle","M Chinnaswamy Stadium","Aleem Dar","SS Hazare",NA
"218",225,2011,"Chandigarh",2011-05-08,"Kings XI Punjab","Pune Warriors","Kings XI Punjab","bat","normal",0,"Pune Warriors",0,5,"R Sharma","Punjab Cricket Association Stadium, Mohali","SK Tarapore","RJ Tucker",NA
"219",226,2011,"Jaipur",2011-05-09,"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Chennai Super Kings",63,0,"M Vijay","Sawai Mansingh Stadium","K Hariharan","SJA Taufel",NA
"220",227,2011,"Hyderabad",2011-05-10,"Deccan Chargers","Pune Warriors","Deccan Chargers","bat","normal",0,"Pune Warriors",0,6,"MR Marsh","Rajiv Gandhi International Stadium, Uppal","Asad Rauf","AM Saheba",NA
"221",228,2011,"Chandigarh",2011-05-10,"Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal",0,"Kings XI Punjab",76,0,"BA Bhatt","Punjab Cricket Association Stadium, Mohali","SK Tarapore","RJ Tucker",NA
"222",229,2011,"Jaipur",2011-05-11,"Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,9,"S Aravind","Sawai Mansingh Stadium","HDPK Dharmasena","K Hariharan",NA
"223",230,2011,"Chennai",2011-05-12,"Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",18,0,"MS Dhoni","MA Chidambaram Stadium, Chepauk","AM Saheba","SL Shastri",NA
"224",231,2011,"Indore",2011-05-13,"Kochi Tuskers Kerala","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,6,"KD Karthik","Holkar Cricket Stadium","S Asnani","RJ Tucker",NA
"225",233,2011,"Mumbai",2011-05-14,"Deccan Chargers","Mumbai Indians","Deccan Chargers","bat","normal",0,"Deccan Chargers",10,0,"A Mishra","Wankhede Stadium","S Ravi","SK Tarapore",NA
"226",234,2011,"Dharamsala",2011-05-15,"Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Kings XI Punjab",29,0,"PP Chawla","Himachal Pradesh Cricket Association Stadium","Asad Rauf","SL Shastri",NA
"227",235,2011,"Indore",2011-05-15,"Rajasthan Royals","Kochi Tuskers Kerala","Kochi Tuskers Kerala","field","normal",0,"Kochi Tuskers Kerala",0,8,"BJ Hodge","Holkar Cricket Stadium","PR Reiffel","RJ Tucker",NA
"228",236,2011,"Mumbai",2011-05-16,"Pune Warriors","Deccan Chargers","Deccan Chargers","field","normal",0,"Deccan Chargers",0,6,"A Mishra","Dr DY Patil Sports Academy","S Ravi","SK Tarapore",NA
"229",237,2011,"Dharamsala",2011-05-17,"Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab","bat","normal",0,"Kings XI Punjab",111,0,"AC Gilchrist","Himachal Pradesh Cricket Association Stadium","Asad Rauf","AM Saheba",NA
"230",238,2011,"Chennai",2011-05-18,"Chennai Super Kings","Kochi Tuskers Kerala","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",11,0,"WP Saha","MA Chidambaram Stadium, Chepauk","HDPK Dharmasena","RE Koertzen",NA
"231",239,2011,"Mumbai",2011-05-19,"Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,7,"YK Pathan","Dr DY Patil Sports Academy","S Ravi","SJA Taufel",NA
"232",240,2011,"Mumbai",2011-05-20,"Mumbai Indians","Rajasthan Royals","Mumbai Indians","bat","normal",0,"Rajasthan Royals",0,10,"SR Watson","Wankhede Stadium","RE Koertzen","PR Reiffel",NA
"233",241,2011,"Dharamsala",2011-05-21,"Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Deccan Chargers",82,0,"S Dhawan","Himachal Pradesh Cricket Association Stadium","Asad Rauf","AM Saheba",NA
"234",243,2011,"Bangalore",2011-05-22,"Chennai Super Kings","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,8,"CH Gayle","M Chinnaswamy Stadium","K Hariharan","RE Koertzen",NA
"235",244,2011,"Kolkata",2011-05-22,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,5,"JEC Franklin","Eden Gardens","SK Tarapore","SJA Taufel",NA
"236",245,2011,"Mumbai",2011-05-24,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,6,"SK Raina","Wankhede Stadium","Asad Rauf","SJA Taufel",NA
"237",246,2011,"Mumbai",2011-05-25,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,4,"MM Patel","Wankhede Stadium","Asad Rauf","SJA Taufel",NA
"238",247,2011,"Chennai",2011-05-27,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","normal",0,"Royal Challengers Bangalore",43,0,"CH Gayle","MA Chidambaram Stadium, Chepauk","Asad Rauf","SJA Taufel",NA
"239",248,2011,"Chennai",2011-05-28,"Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",58,0,"M Vijay","MA Chidambaram Stadium, Chepauk","Asad Rauf","SJA Taufel",NA
"240",249,2012,"Chennai",2012-04-04,"Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,8,"RE Levi","MA Chidambaram Stadium, Chepauk","JD Cloete","SJA Taufel",NA
"241",250,2012,"Kolkata",2012-04-05,"Kolkata Knight Riders","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,8,"IK Pathan","Eden Gardens","S Asnani","HDPK Dharmasena",NA
"242",251,2012,"Mumbai",2012-04-06,"Pune Warriors","Mumbai Indians","Mumbai Indians","field","normal",0,"Pune Warriors",28,0,"SPD Smith","Wankhede Stadium","AK Chaudhary","SJA Taufel",NA
"243",252,2012,"Jaipur",2012-04-06,"Rajasthan Royals","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Rajasthan Royals",31,0,"AM Rahane","Sawai Mansingh Stadium","BF Bowden","SK Tarapore",NA
